run_id	runseed	popseed	t	component	centrality	density	EffectiveSize	deg_cent
xCoEDfL9	1	2	10	221		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	222		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	223		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	224		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	225		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	226		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	227		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	228		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	229		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	230		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	231		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	232		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	233		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	234		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	235		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	236		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	237		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	238		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	239		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	240		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	241		0.0000	0.0000	nan	1.0
